ano,id,numero,situacao,alteraportaria,alteradaporportaria,rawalteracao
2023,3e7adbf5-edbe-4a24-925c-168b31a138fb,CPV.0020,alterada,revoga CPV.0188/2021,,alterada pela portaria 23/2023
2023,036b18a8-9bc5-43b2-a1a1-b4751fc546d9,CPV.0018,vigente,altera CPV.0229/2021,,vigente
2023,89d38f7d-779b-4d23-9c9f-d2877547169d,CPV.0017,alterada,altera CPV.0032/2022,,Alterada pela portaria 102/2023
2023,ac91446a-7da5-4bad-ba4d-1f6a2947cd7b,CPV.0025,vigente,altera CPV.0216/2021,,vigente
2023,fc7e4ed3-54d6-4af8-8e72-29057e5d11d8,CPV.0022,alterada,altera CPV.0205/2021,,Alterada pela portaria 31/2023
2023,7f813f1c-9b55-4ccf-bbfa-73e3b995d941,CPV.0048,alterada,altera CPV.0006/2021,,Alterada pela portaria 120/2023
2023,06c9f9be-a66d-4801-af8d-3a14aa7027d4,CPV.0057,vigente,altera CPV.0052/2021,,vigente
2023,5f0226b8-e0c6-4595-89c4-de29ece04bd5,CPV.0081,revogada,revoga CPV.0204/2021,,revogada
2023,5f0226b8-e0c6-4595-89c4-de29ece04bd5,CPV.0081,revogada,revoga CPV.0214/2021,,revogada
2023,5f0226b8-e0c6-4595-89c4-de29ece04bd5,CPV.0081,revogada,revoga CPV.2011/2021,,revogada
2023,fbd65c2c-2a0a-4f9d-88bc-e42afc5abb09,CPV.0077,vigente,altera CPV.0212/2021,,vigente
2023,5f0226b8-e0c6-4595-89c4-de29ece04bd5,CPV.0081,revogada,revoga CPV.0213/2021,,revogada
2023,5f0226b8-e0c6-4595-89c4-de29ece04bd5,CPV.0081,revogada,revoga CPV.0215/2021,,revogada
2023,5305f109-989a-4f20-b55b-c3f8f605fc16,CPV.0105,vigente,altera CPV.0135/2021,,vigente
2023,fedd8fe5-2b3f-49aa-b3f1-5cbb4b164eaa,CPV.0114,vigente,retifica CPV.0060/2023,,vigente
2023,b5b99d98-dbdd-4985-810c-825d247a8304,CPV.0111,vigente,retifica CPV.0110/2023,,vigente
