ano,id,numero,situacao,alteraPortaria,alteradaPorPortaria,rawAlteracao
2023,0ed19490-ebe0-4bac-b222-0b2fa2ff3ba8,CPV.0003,vigente,Altera 135/2023,,"vigente"
2023,13092067-e0e4-460a-8b30-9df4d88490fc,CPV.0004,vigente,Altera 29/2022,,"vigente"
2023,b442aa03-4205-4cc2-a850-b99364c76ad9,CPV.0001,vigente,,,"vigente"
2023,4cda1a02-5bf7-401a-aaaa-773365c2cb7f,CPV.0002,vigente,,,"vigente"
2023,22eb8e64-5bbe-4680-8f06-fe99dffcb8f7,CPV.0006,vigente,,,"vigente"
2023,a5addaa8-069e-4137-8f29-79a7670a6a9a,CPV.0005,vigente,Altera 28/2022,,"vigente"
2023,d631af13-ecdb-4ea9-add3-22dba7dfd404,CPV.0007,vigente,Altera 71/2022,,"vigente"
2023,bb87ce87-ad1f-4bc6-bda6-bd3d1e5eb863,CPV.0008,vigente,,,"vigente"
2023,8d70c5a9-8873-4112-88df-1860557f2f16,CPV.0009,vigente,Altera 111/2022,,"vigente"
2023,1b9f8187-7214-442b-9106-cc4d66f8e0cc,CPV.0013,vigente,ALtera 110/2022,,"vigente"
2023,3058a738-fc25-4ee5-b1a3-0225b9924864,CPV.0014,vigente,Altera 105/2022,,"vigente"
2023,e34b9bb8-4833-4ff4-841d-3e2e3e9beda9,CPV.0010,alterada,Altera 26/2022,,"Alterada pela portaria 49/2023"
2023,ab67983d-08db-4a33-a967-a85be3fc4be7,CPV.0011,alterada,Altera 59/2022,,"Alterada pela portaria 92/2023"
2023,8e5bcce3-d848-43b0-9458-0455b9a58724,CPV.0012,vigente,ALtera 128/2022,,"vigente"
2023,166ed9e1-bbc1-4957-b69a-9f604a6f38d2,CPV.0016,alterada,Altera 98/2022,,"Alterada pela portaria 73/2023"
2023,ffca14a2-f11c-4faf-961b-8dc32c532951,CPV.0015,vigente,Altera 37/2022,,"vigente"
2023,3e7adbf5-edbe-4a24-925c-168b31a138fb,CPV.0020,alterada,Revoga 188/2021,,"alterada pela portaria 23/2023"
2023,c3913f90-7da5-474d-8cba-8c66b0608456,CPV.0019,vigente,,,"vigente"
2023,036b18a8-9bc5-43b2-a1a1-b4751fc546d9,CPV.0018,vigente,Altera 229/2021,,"vigente"
2023,994bca63-6af6-446b-bb23-94cdb07f5dd3,CPV.0021,vigente,,,"vigente"
2023,89d38f7d-779b-4d23-9c9f-d2877547169d,CPV.0017,alterada,Altera 32/2022,,"Alterada pela portaria 102/2023"
2023,95fe586d-9266-4dac-b5f2-8a9794ee20ee,CPV.0023,alterada,Altera 20/2023,,"Alterada pela portaria 118/2023"
2023,fc7e4ed3-54d6-4af8-8e72-29057e5d11d8,CPV.0022,alterada,Altera 205/2021,,"Alterada pela portaria 31/2023"
2023,ac91446a-7da5-4bad-ba4d-1f6a2947cd7b,CPV.0025,vigente,Altera 216/2021,,"vigente"
2023,d2a88969-0961-4443-b0cc-4dc7cc87611b,CPV.0024,alterada,Altera 115/2022,,"Alterada pela portaria 26/2023"
2023,c0553ee1-c2d0-4c41-a74e-a00b57748749,CPV.0027,vigente,,,"vigente"
2023,64d5914f-1a9c-4ab4-83cb-cbd064f67f1f,CPV.0026,vigente,Altera 24/2023,,"vigente"
2023,152fcd61-01ab-411f-b79b-fd84498665ba,CPV.0032,vigente,,,"vigente"
2023,832d2c8b-2cff-4284-8b36-27ebd228d1b0,CPV.0028,vigente,,,"vigente"
2023,a64859d3-36d6-4a9a-a5aa-e2733a0a8e22,CPV.0030,vigente,,,"vigente"
2023,446c97b7-9cad-4c1a-bfb1-e6d022f0e977,CPV.0031,alterada,Altera 22/2023,,"Alterada pela portaria 95/2023"
2023,0091e47a-8a1e-4333-b35d-1f0b36a55ec4,CPV.0029,vigente,,,"vigente"
2023,3cf68254-d0b3-453a-b3f8-47efc317458d,CPV.0033,alterada,Altera 103/2022,,"Alterada pela portaria 54/2023"
2023,f0468c7b-3731-4773-87b3-42da56e1f1ef,CPV.0034,vigente,,,"vigente"
2023,ae3d9e71-2da7-4cc2-abcb-981a4e7d2966,CPV.0036,vigente,,,"vigente"
2023,bca8f757-a636-44d7-ac23-9a7dee84b00a,CPV.0035,vigente,,,"vigente"
2023,2a8068d4-e45f-47d9-af00-418466f72cbd,CPV.0042,vigente,,,"vigente"
2023,cae0d9b0-0b29-4d4c-9358-6e74f7e8d20c,CPV.0038,vigente,Altera 130/2022,,"vigente"
2023,0709bf7c-33fd-4351-abfc-f21e9971bcf4,CPV.0040,vigente,,,"vigente"
2023,a9ab8768-7126-473f-af80-5d2e1291a54d,CPV.0041,alterada,Altera 22/2022,134/2023,"Alterada pela Portaria 134/2023"
2023,c59270d8-4382-449f-94cc-0b47d33379dc,CPV.0039,vigente,,,"vigente"
2023,3f737cd9-75f4-47e5-9111-b12b96512924,CPV.0046,revogada,revoga, 14/2022; 40/2022,,"revogada"
2023,7f813f1c-9b55-4ccf-bbfa-73e3b995d941,CPV.0048,alterada,Altera 06/2021,,"Alterada pela portaria 120/2023"
2023,2223882e-3ffb-4c36-8857-a5e0ae8c5329,CPV.0045,alterada,,,"Alterada pela portaria 60/2023"
2023,07cfc7e4-6a6e-444d-8795-b50a315d1d0e,CPV.0043,vigente,,,"vigente"
2023,6c45767b-c99a-43ae-b12a-d8c991ddd4df,CPV.0053,vigente,,,"vigente"
2023,b4c6adb1-c8a9-4b9a-a1d0-7865d53998c4,CPV.0052,vigente,,,"vigente"
2023,283e3fd4-a119-4bcf-baf1-7d101054d86c,CPV.0051,vigente,,,"vigente"
2023,1d82207f-d2d2-466b-87fb-d562cc7bcf07,CPV.0050,vigente,,,"vigente"
2023,63716140-d1c4-4f6b-852d-2370b0deb7b1,CPV.0049,alterada,Altera 10/2023,,"alterada pela portaria 55/2023"
2023,a31fed92-a0cf-4e6d-aed8-7907e26b4c12,CPV.0058,vigente,,,"vigente"
