ano,numero,publicacao,assunto,classificacao,permanente,situacao,validade,servidores,link,alteracao
2019,CPV.0001,01/11/2019,Trata da designação dos membros da Comissão de Apoio para Efetivação de Matrícula e Análise de Documentação de Candidatos que optaram pelo Sistema de Reserva de Vagas,C,,"Alterada,  pela Portaria nº CPV.0006/2019, de 23 de janeiro de 2019",sem mandado expresso,,https://drive.ifsp.edu.br/s/Aeo8FPNX82ReNEX,
2019,CPV.0002,01/11/2019,Trata da designação dos membros da Comissão de Matrícula para Auxílio à Coordenadoria de Registros Acadêmicos do IFSP-Câmpus Capivari,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/8REei8wReWI1kdK,
2019,CPV.0003,01/22/2019,Trata da designação de membros de banca examinadora para processo seletivo simplificado de professor substituto de informática,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/F203nCy8fIDQEtU,
2019,CPV.0004,01/22/2019,Trata da designação de membros de banca examinadora para processo seletivo simplificado de professor substituto de química,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/dBK4lcW24zpiMYc,
2019,CPV.0005,01/22/2019,Trata da designação de membros de banca examinadora para processo seletivo simplificado de professor substituto de matemática,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/H7fpGP3Kd3pREaA,
2019,CPV.0006,01/23/2019,Trata da designação dos membros da Comissão de Apoio para Efetivação de Matrícula e Análise de Documentação de Candidatos que optaram pelo Sistema de Reserva de Vagas,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/XADkDh9RpvZwiyO,Altera CPV.001/2019
2019,CPV.0007,01/23/2019,Trata da designação dos membros da Comissão de Matrícula para Auxílio à Coordenadoria de Registros Acadêmicos do IFSP-Câmpus Capivari,C,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/hD3jaSW1uSQhjql,altera CPV.0002/2019
2019,CPV.0008,01/29/2019,"Trata da revogação de portarias do IFSP-Câmpus Capivari (CPV.0028/2015, CPV.0029/2015, CPV.0078/2015, CPV0095/2016, CPV.0084/2017, CPV.0171/2017 e CPV.0001/2018)",R,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/b6YNI8CYdDowSae,Revoga CPV.0028;0029;0078/2015 - 0095/2016; 0084/2017; 0171/2017; 0001/2018
2019,CPV.0009,01/30/2019,Trata da designação de substituto à Função Gratificada de Coordenador de Licitações e Contratos do IFSP-Cãmpus Capivari,S,,extinta,sem mandado expresso,,https://drive.ifsp.edu.br/s/GoKb1B0kGuxbYMq,
2019,CPV.0010,02/06/2019,Trata da designação dos fiscais do Contrato 01.712/2019 do IFSP-Câmpus Capivari (Cantina-Nutrimax),F,,Alterada pela Portaria nº CPV.0020/2020,sem mandado expresso,,https://drive.ifsp.edu.br/s/e1AXjgOZfbGahW7,
2019,CPV.0011,02/07/2019,Trata da designação dos fiscais do Contrato 03.712/2017 do IFSP-Câmpus Capivari (Plataforma Elevatória),F,,Alterada pela Portaria nº CPV.0172/2019,sem mandado expresso,,https://drive.ifsp.edu.br/s/BCUX160D4eE5UvV,ALtera CPV.0012/2017
2019,CPV.0012,02/07/2019,Comissão de Reavaliação de Bens Móveis,C,,extinta,31/12/2019,,https://drive.ifsp.edu.br/s/eSbPHy9Lc1mJrR8,
2019,CPV.0013,02/07/2019,Comissão Própria de Avaliação-CPA,C,,Alterada Pela Portaria CPV.0161/2019,2/7/2021,,https://drive.ifsp.edu.br/s/n1wOglDIPAThVgE,Altera CPV.0122/2018; 0098/2018;
2019,CPV.0014,02/11/2019,Trata da designação dos fiscais do Contrato 005.712/2017 do IFSP-Câmpus Capivari (Telefonia Fixa),F,P,Vigente,sem mandado expresso,Lucas Bonetti ; larissa Carvalho Alves,https://drive.ifsp.edu.br/s/TW6lqe7Rd2yB3oT,Altera CPV.0110/2017;
