numero,publicacao,assunto,classificacao,permanente,situacao,validade,servidores,alteracao,link
CPV.0001,01/10/2022,Trata  da  Designação  dos  membros  da  Comissão  de Matrícula  para  Auxílio  à Coordenadoria de Registros Acadêmicos do IFSP - Câmpus Capivari.,C,P,revogada pela portaria 81/2022,"até o fim do período de matrículas estipulado para o primeiro semestre de 2022.","Grazielle Cristine Elias,Arlete Teresinha Esteves Brandi,Carlos Roberto Paviotti,Elielma de Araújo Prazeres,Grazielle Nayara Felício Silva,Ivana Lopes de Olivera Arruda ,Larissa Carvalho Alves ,Maiara Thaís Tolfo Gabbi ,Pedro William Simões de Oliveira  ,Rubia Dias Adão,Vinicius de Souza Lucas",Revoga 221/2021,"https://drive.google.com/file/d/1IrrHnsKSlmQnP9zhXUo5DSyNxUaN4jAl/view?usp=sharing"
CPV.0002,01/19/2022,"Trata da Aprovação e designação dos membros do Projeto Institucional ""Grupo de Sistematização do Projeto de Inovação da Licenciatura em Química"" para o primeiro semestre letivo de 2022, do IFSP Câmpus Capivari.",p,T,extinta,02/02/2022 à 05/07/2022,"Ana Carla Dantas Midões,Carlos Fernando Barboza da Silva  , Francisco Márcio Barbosa Teixeira, Paloma Epprecht e Machado de Campos Chaves, Roberto Bineli Muterle",,"https://drive.google.com/file/d/1UZrOv-UenlsbR0wKyJYRORIO28BvgqGI/view?usp=sharing"
CPV.0003,01/19/2022,"Trata da Aprovação e designação dos membros do Projeto Instucional ""Modelagem de Processos e Dados do Câmpus Capivari"" para o primeiro e segundo semestres letivos de 2022, do IFSP Câmpus Capivari.",p,T,revogada pela portaria CPV. 24/2022,02/02/2022 à 31/12/2022,Waldo Luis de Lucca,,"https://drive.google.com/file/d/1_2OgLobRrusjiiOH3q0mmEZnCyynTopK/view?usp=sharing"
CPV.0004,01/24/2022,"Trata da Aprovação e designação dos membros do Projeto Instucional ""Base Cartográfica Digital do IFSP"" para o primeiro semestre letivo de 2022, do IFSP Câmpus Capivari.",p,T,extinta,02/02/2022 à 07/07/2022,"Tiago José Berg,Fernando César Russo Gomes",,"https://drive.google.com/file/d/1HRQgpz1kvyIyugHpHmHat_hHj-eggHgv/view?usp=sharing"
CPV.0005,01/24/2022,"Trata da Aprovação e designação dos membros do Projeto Instucional ""API - Agente de Prospecção de Inovação do IFSP Capivari"" para o primeiro semestre letivo de 2022, do IFSP Câmpus Capivari.",p,T,extinta,02/02/2022 à 07/07/2022,Fernando César Russo Gomes,,"https://drive.google.com/file/d/1KbhsLG99hRGSHKsaGLLjTpm4gNdZ-5ym/view?usp=sharing"
CPV.0006,01/24/2022,Trata da designação dos membros da Comissão Anual de Alienação e Outras Formas de Destinação de bens móveis do IFSP-Câmpus Capivari.,C,,extinta,02/02/2022 à 31/12/2022,"Eduardo Camargo Maia, Gilberto Bulgraen Junior, Izabel Maria Barral Teixeira, Júnio Rodrigues de Oliveira",,"https://drive.google.com/file/d/1jfH0pbpxnYBY_I90Uj0gvSqGelO_G_0k/view?usp=sharing"
CPV.0007,01/24/2022,Trata da designação dos fiscais do contrato referente à dispensa de licitação 16.712/2021 (GENTE SEGURADORA S.A.) do IFSP – Câmpus Capivari.,F,P,vigente,"até o vencimento do contrato e de sua garantia, quando houver.","Eduardo camargo Maia, Michele Pereira de Faria",,"https://drive.google.com/file/d/1Q_ZOy8tKSwvxm2HFdtFvz1rPOWuI_iX2/view?usp=sharing"
CPV.0008,01/28/2022,Trata da designação dos membros do Projeto Institucional de Preparação do curso e curadoria de materiais para a Pós-Graduação em Ensino de Línguas - EaD do IFSP Câmpus Capivari,P,T,extinta,02/02/2022 à 07/07/2022,Tiago Pellim da Silva ;Érica Maio Taveira Grande ;Fabiana Bigaton Tonin ;Fernanda Tonelli ;vinicius de Souza Lucas,,"https://drive.google.com/file/d/1Xhx6tM7nkc9_jz3Zv5UXnTHjFSTn_bpp/view?usp=sharing"
CPV.0009,02/03/2022,"Trata da designação dos fiscais técnicos, fiscais administrativos e gestores do Contrato 05.712/2019 (Paulistana Segurança Patrimonial Ltda.) do IFSP-Câmpus Capivari.",F,P,Alterada pela portaria nº 14/2022,"até o vencimento do contrato e de sua garantia, quando houver.",Luciana Martins Gatti;Renan Giollo Francisco; Eduardo Camargo Maia;Luciane Belini de Oliveira Sabó;Antonio Carlos da Silva Bomfim,Altera CPV.103/2021,"https://drive.google.com/file/d/1Qpg8SpypmZgo1kQ_CyHmT7tOmeW05ptH/view?usp=sharing"
CPV.0010,02/03/2022,"Trata da designação dos fiscais técnicos, fiscais administrativos e gestores do Contrato 01.712/2020 (MV Clean) do IFSP-Câmpus Capivari.",F,P,vigente,"até o vencimento do contrato e de sua garantia, quando houver.","Luciana Martins Gatti;  César Eduardo Armelin   ;  Eduardo Camargo Maia ,Zenilton José da Rocha, Micael Douglas Diniz, Mateus Henrique Messia",Altera CPV.105/2021,"https://drive.google.com/file/d/1XyXOhuYta6JqtVG5wmXnASnBt0CsbC1P/view?usp=sharing"
